"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"1101","f",21,3,1,19,"yl1.wav",1,2,0,1.126,-60
"1101","f",21,3,1,20,"yl3.wav",3,2,0,1.021,-36
"1101","f",21,3,1,21,"yl11.wav",11,2,1,1.461,60
"1101","f",21,3,1,22,"yl10.wav",10,2,1,1.357,48
"1101","f",21,3,2,1,"yl7.wav",7,1,1,1.856,12
"1101","f",21,3,2,2,"yl5.wav",5,1,0,1.403,-12
"1101","f",21,3,2,3,"yl11.wav",11,1,1,1.761,60
"1101","f",21,3,2,4,"yl3.wav",3,1,0,1.548,-36
"1101","f",21,3,2,5,"yl9.wav",9,1,1,1.217,36
"1101","f",21,3,2,6,"yl1.wav",1,1,0,1.275,-60
"1101","f",21,3,2,7,"yl2.wav",2,1,0,0.982,-48
"1101","f",21,3,2,8,"yl8.wav",8,1,1,1.819,24
"1101","f",21,3,2,9,"yl10.wav",10,1,1,1.326,48
"1101","f",21,3,2,10,"yl4.wav",4,1,0,1.351,-24
"1101","f",21,3,2,11,"yl6.wav",6,1,0,1.531,0
"1101","f",21,3,2,12,"yl1.wav",1,2,0,1.128,-60
"1101","f",21,3,2,13,"yl11.wav",11,2,1,1.515,60
"1101","f",21,3,2,14,"yl5.wav",5,2,0,1.555,-12
"1101","f",21,3,2,15,"yl4.wav",4,2,0,1.367,-24
"1101","f",21,3,2,16,"yl6.wav",6,2,1,2.106,0
"1101","f",21,3,2,17,"yl8.wav",8,2,1,1.581,24
"1101","f",21,3,2,18,"yl7.wav",7,2,1,1.714,12
"1101","f",21,3,2,19,"yl2.wav",2,2,0,1.75,-48
"1101","f",21,3,2,20,"yl3.wav",3,2,0,1.037,-36
"1101","f",21,3,2,21,"yl9.wav",9,2,1,1.973,36
"1101","f",21,3,2,22,"yl10.wav",10,2,1,1.12,48
"1101","f",21,3,3,1,"yl4.wav",4,1,0,1.73,-24
"1101","f",21,3,3,2,"yl7.wav",7,1,1,1.685,12
"1101","f",21,3,3,3,"yl2.wav",2,1,0,1.248,-48
"1101","f",21,3,3,4,"yl6.wav",6,1,0,1.879,0
"1101","f",21,3,3,5,"yl3.wav",3,1,0,1.114,-36
"1101","f",21,3,3,6,"yl5.wav",5,1,0,1.323,-12
"1101","f",21,3,3,7,"yl11.wav",11,1,1,1.809,60
"1101","f",21,3,3,8,"yl9.wav",9,1,1,1.062,36
"1101","f",21,3,3,9,"yl10.wav",10,1,1,1.017,48
"1101","f",21,3,3,10,"yl8.wav",8,1,1,1.162,24
"1101","f",21,3,3,11,"yl1.wav",1,1,0,1.507,-60
"1101","f",21,3,3,12,"yl2.wav",2,2,0,1.016,-48
"1101","f",21,3,3,13,"yl5.wav",5,2,0,1.29,-12
"1101","f",21,3,3,14,"yl4.wav",4,2,0,1.099,-24
"1101","f",21,3,3,15,"yl6.wav",6,2,0,2.264,0
"1101","f",21,3,3,16,"yl10.wav",10,2,1,1.617,48
"1101","f",21,3,3,17,"yl3.wav",3,2,0,1.646,-36
"1101","f",21,3,3,18,"yl7.wav",7,2,1,1.489,12
"1101","f",21,3,3,19,"yl8.wav",8,2,1,1.067,24
"1101","f",21,3,3,20,"yl9.wav",9,2,1,1.13,36
"1101","f",21,3,3,21,"yl1.wav",1,2,0,1.559,-60
"1101","f",21,3,3,22,"yl11.wav",11,2,1,1.721,60
"1412","m",19,1,1,1,"yl1.wav",1,1,0,4.1337,-60
"1412","m",19,1,1,2,"yl5.wav",5,1,1,1.6054,-12
"1412","m",19,1,1,3,"yl6.wav",6,1,1,1.4882,0
"1412","m",19,1,1,4,"yl4.wav",4,1,1,1.3358,-24
"1412","m",19,1,1,5,"yl7.wav",7,1,1,1.164,12
"1412","m",19,1,1,6,"yl10.wav",10,1,1,1.2411,48
"1412","m",19,1,1,7,"yl11.wav",11,1,1,1.1264,60
"1412","m",19,1,1,8,"yl8.wav",8,1,1,1.357,24
"1412","m",19,1,1,9,"yl9.wav",9,1,1,1.5646,36
"1412","m",19,1,1,10,"yl3.wav",3,1,0,1.4921,-36
"1412","m",19,1,1,11,"yl2.wav",2,1,0,1.2861,-48
"1412","m",19,1,1,12,"yl5.wav",5,2,0,1.1371,-12
"1412","m",19,1,1,13,"yl4.wav",4,2,0,1.2031,-24
"1412","m",19,1,1,14,"yl2.wav",2,2,0,1.1118,-48
"1412","m",19,1,1,15,"yl3.wav",3,2,0,1.1412,-36
